report_date,year,month_number,year_month,month_start,day_of_month,weekday_name,is_weekend,store_id,store_name,city,product_id,product_name,category,qty_sold,revenue,cogs,gross_profit,unconstrained_demand,lost_sales_qty,lost_revenue,potential_revenue,service_level,stock_qty,incoming_qty,is_stockout,in_stock_flag
2026-06-10,2026,6,2026-06,2026-06-01,10,Wednesday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,13,2935.27,1666.86,1268.41,13,0,0.0,2935.27,1.0,141,0,0,1
2026-06-11,2026,6,2026-06,2026-06-01,11,Thursday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,5,1128.95,641.1,487.85,5,0,0.0,1128.95,1.0,136,0,0,1
2026-06-12,2026,6,2026-06,2026-06-01,12,Friday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,12,2709.48,1538.6399999999999,1170.8400000000001,12,0,0.0,2709.48,1.0,124,0,0,1
2026-06-13,2026,6,2026-06,2026-06-01,13,Saturday,1,ST001,Market_1,Kazan,PR001,Product_1,Dairy,8,1806.32,1025.76,780.56,8,0,0.0,1806.32,1.0,116,0,0,1
2026-06-14,2026,6,2026-06,2026-06-01,14,Sunday,1,ST001,Market_1,Kazan,PR001,Product_1,Dairy,13,2935.27,1666.86,1268.41,13,0,0.0,2935.27,1.0,103,0,0,1
2026-06-15,2026,6,2026-06,2026-06-01,15,Monday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,11,2483.69,1410.42,1073.27,11,0,0.0,2483.69,1.0,92,0,0,1
2026-06-16,2026,6,2026-06,2026-06-01,16,Tuesday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,13,2935.27,1666.86,1268.41,13,0,0.0,2935.27,1.0,79,0,0,1
2026-06-17,2026,6,2026-06,2026-06-01,17,Wednesday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,12,2709.48,1538.6399999999999,1170.8400000000001,12,0,0.0,2709.48,1.0,67,0,0,1
2026-06-18,2026,6,2026-06,2026-06-01,18,Thursday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,11,2483.69,1410.42,1073.27,11,0,0.0,2483.69,1.0,56,0,0,1
2026-06-19,2026,6,2026-06,2026-06-01,19,Friday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,10,2257.9,1282.2,975.7,10,0,0.0,2257.9,1.0,46,0,0,1
2026-06-20,2026,6,2026-06,2026-06-01,20,Saturday,1,ST001,Market_1,Kazan,PR001,Product_1,Dairy,10,2257.9,1282.2,975.7,10,0,0.0,2257.9,1.0,36,0,0,1
2026-06-21,2026,6,2026-06,2026-06-01,21,Sunday,1,ST001,Market_1,Kazan,PR001,Product_1,Dairy,17,3838.43,2179.74,1658.69,17,0,0.0,3838.43,1.0,19,154,0,1
2026-06-22,2026,6,2026-06,2026-06-01,22,Monday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,11,2483.69,1410.42,1073.27,11,0,0.0,2483.69,1.0,8,0,0,1
2026-06-23,2026,6,2026-06,2026-06-01,23,Tuesday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,8,1806.32,1025.76,780.56,8,0,0.0,1806.32,1.0,154,0,0,1
2026-06-24,2026,6,2026-06,2026-06-01,24,Wednesday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,14,3161.06,1795.08,1365.98,14,0,0.0,3161.06,1.0,140,0,0,1
2026-06-25,2026,6,2026-06,2026-06-01,25,Thursday,0,ST001,Market_1,Kazan,PR001,Product_1,Dairy,5,1128.95,641.1,487.85,5,0,0.0,1128.95,1.0,135,0,0,1
