product_id,product_name,category,cost_price,sale_price,lead_time_days,total_qty_sold,total_revenue,total_gross_profit,total_lost_sales_qty,total_lost_revenue,total_potential_revenue,stockout_days,lost_revenue_pct
PR001,Product_1,Dairy,128.22,225.79,10,3232,729753.28,315346.24,37,8354.23,738107.51,10,1.13
PR002,Product_2,Household,47.6,63.99,10,6611,423037.89,108354.29,99,6335.01,429372.9,11,1.48
PR003,Product_3,Beverages,43.64,61.01,5,2361,144044.61,41010.57,53,3233.53,147278.14,14,2.2
PR004,Product_4,Beverages,43.84,57.98,5,8583,497642.34,121363.62,163,9450.74,507093.08,13,1.86
PR005,Product_5,Dairy,59.55,87.1,5,5354,466333.4,147502.7,133,11584.3,477917.7,13,2.42
PR006,Product_6,Snacks,88.22,131.83,5,6400,843712.0,279104.0,166,21883.78,865595.78,11,2.53
PR007,Product_7,Dairy,76.15,109.33,5,3789,414251.37,125719.02,95,10386.35,424637.72,11,2.45
PR008,Product_8,Dairy,57.86,99.19,10,7464,740354.16,308487.12,124,12299.56,752653.72,10,1.63
PR009,Product_9,Dairy,99.54,147.16,5,1725,253851.0,82144.5,47,6916.52,260767.52,17,2.65
PR010,Product_10,Dairy,38.13,54.93,3,7014,385279.02,117835.2,154,8459.22,393738.24,11,2.15
PR011,Product_11,Household,57.98,91.11,7,5637,513587.07,186753.81,115,10477.65,524064.72,13,2.0
PR012,Product_12,Beverages,67.63,92.68,5,3158,292683.44,79107.9,106,9824.08,302507.52,19,3.25
PR013,Product_13,Household,79.29,134.88,5,4697,633531.36,261106.23,63,8497.44,642028.8,10,1.32
PR014,Product_14,Household,122.07,163.24,10,3556,580481.44,146400.52,58,9467.92,589949.36,12,1.6
PR015,Product_15,Household,45.96,82.43,5,5685,468614.55,207331.95,184,15167.12,483781.67,14,3.14
PR016,Product_16,Dairy,86.85,146.44,5,2010,294344.4,119775.9,128,18744.32,313088.72,21,5.99
PR017,Product_17,Snacks,97.01,135.75,5,5346,725719.5,207104.04,104,14118.0,739837.5,13,1.91
PR018,Product_18,Beverages,26.04,33.92,10,5992,203248.64,47216.96,41,1390.72,204639.36,6,0.68
PR019,Product_19,Snacks,98.98,169.03,5,2352,397558.56,164757.6,101,17072.03,414630.59,16,4.12
PR020,Product_20,Household,42.17,69.73,7,6483,452059.59,178671.48,70,4881.1,456940.69,10,1.07
