snapshot_date,year,month_number,year_month,month_start,store_id,store_name,city,product_id,product_name,category,stock_qty,incoming_qty,expected_available_qty,avg_daily_demand_14d,lead_time_days,days_of_supply,expected_days_of_supply,risk_level,risk_level_ru,review_period_days,safety_days,target_cover_days,target_stock_qty,recommended_qty,estimated_order_cost,priority,priority_label
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR001,Product_1,Dairy,12,0,12,11.43,10,1.0,1.0,critical,Критично,7,2,19,217.0,205.0,26285.1,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR002,Product_2,Household,270,0,270,24.71,10,10.9,10.9,high,Высокий,7,2,19,469.0,199.0,9472.4,3,Средний
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR003,Product_3,Beverages,0,112,112,8.79,5,0.0,12.7,stockout,Дефицит,7,2,14,123.0,11.0,480.04,1,Срочно
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR004,Product_4,Beverages,375,0,375,35.43,5,10.6,10.6,medium,Средний,7,2,14,496.0,121.0,5304.64,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR006,Product_6,Snacks,28,0,28,24.57,5,1.1,1.1,critical,Критично,7,2,14,344.0,316.0,27877.52,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR007,Product_7,Dairy,170,0,170,13.86,5,12.3,12.3,ok,Норма,7,2,14,194.0,24.0,1827.6,5,Позже
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR008,Product_8,Dairy,251,0,251,30.07,10,8.3,8.3,critical,Критично,7,2,19,571.0,320.0,18515.2,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR009,Product_9,Dairy,39,0,39,6.36,5,6.1,6.1,high,Высокий,7,2,14,89.0,50.0,4977.0,3,Средний
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR010,Product_10,Dairy,305,0,305,27.0,3,11.3,11.3,ok,Норма,7,2,12,324.0,19.0,724.47,5,Позже
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR011,Product_11,Household,0,0,0,22.71,7,0.0,0.0,stockout,Дефицит,7,2,16,363.0,363.0,21046.74,1,Срочно
