snapshot_date,year,month_number,year_month,month_start,store_id,store_name,city,product_id,product_name,category,stock_qty,incoming_qty,expected_available_qty,avg_daily_demand_14d,avg_daily_sales_14d,stockout_days_14d,lost_sales_qty_14d,lead_time_days,days_of_supply,expected_days_of_supply,risk_level,risk_level_ru,risk_sort
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR001,Product_1,Dairy,12,0,12,11.43,11.43,0.0,0.0,10,1.0,1.0,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR002,Product_2,Household,270,0,270,24.71,24.71,0.0,0.0,10,10.9,10.9,high,Высокий,3
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR003,Product_3,Beverages,0,112,112,8.79,8.0,3.0,11.0,5,0.0,12.7,stockout,Дефицит,1
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR004,Product_4,Beverages,375,0,375,35.43,32.64,2.0,39.0,5,10.6,10.6,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR005,Product_5,Dairy,45,252,297,17.14,16.07,1.0,15.0,5,2.6,17.3,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR006,Product_6,Snacks,28,0,28,24.57,23.86,1.0,10.0,5,1.1,1.1,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR007,Product_7,Dairy,170,0,170,13.86,13.86,0.0,0.0,5,12.3,12.3,ok,Норма,5
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR008,Product_8,Dairy,251,0,251,30.07,30.07,0.0,0.0,10,8.3,8.3,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR009,Product_9,Dairy,39,0,39,6.36,6.14,1.0,3.0,5,6.1,6.1,high,Высокий,3
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR010,Product_10,Dairy,305,0,305,27.0,26.21,1.0,11.0,3,11.3,11.3,ok,Норма,5
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR011,Product_11,Household,0,0,0,22.71,21.07,2.0,23.0,7,0.0,0.0,stockout,Дефицит,1
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR012,Product_12,Beverages,24,0,24,11.14,11.07,1.0,1.0,5,2.2,2.2,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR013,Product_13,Household,198,0,198,17.36,17.36,0.0,0.0,5,11.4,11.4,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR014,Product_14,Household,154,0,154,13.86,13.57,1.0,4.0,10,11.1,11.1,high,Высокий,3
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR015,Product_15,Household,224,0,224,21.0,20.5,1.0,7.0,5,10.7,10.7,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR016,Product_16,Dairy,30,0,30,9.07,8.0,2.0,15.0,5,3.3,3.3,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR017,Product_17,Snacks,6,252,258,20.14,20.14,0.0,0.0,5,0.3,12.8,critical,Критично,2
