date_key,calendar_date,year,month_number,year_month,month_start,day_of_month,day_of_week_sun_0,weekday_name,is_weekend
2026-06-10,2026-06-10,2026,6,2026-06,2026-06-01,10,3,Wednesday,0
2026-06-11,2026-06-11,2026,6,2026-06,2026-06-01,11,4,Thursday,0
2026-06-12,2026-06-12,2026,6,2026-06,2026-06-01,12,5,Friday,0
2026-06-13,2026-06-13,2026,6,2026-06,2026-06-01,13,6,Saturday,1
2026-06-14,2026-06-14,2026,6,2026-06,2026-06-01,14,0,Sunday,1
2026-06-15,2026-06-15,2026,6,2026-06,2026-06-01,15,1,Monday,0
2026-06-16,2026-06-16,2026,6,2026-06,2026-06-01,16,2,Tuesday,0
2026-06-17,2026-06-17,2026,6,2026-06,2026-06-01,17,3,Wednesday,0
2026-06-18,2026-06-18,2026,6,2026-06,2026-06-01,18,4,Thursday,0
2026-06-19,2026-06-19,2026,6,2026-06,2026-06-01,19,5,Friday,0
2026-06-20,2026-06-20,2026,6,2026-06,2026-06-01,20,6,Saturday,1
2026-06-21,2026-06-21,2026,6,2026-06,2026-06-01,21,0,Sunday,1
2026-06-22,2026-06-22,2026,6,2026-06,2026-06-01,22,1,Monday,0
2026-06-23,2026-06-23,2026,6,2026-06,2026-06-01,23,2,Tuesday,0
2026-06-24,2026-06-24,2026,6,2026-06,2026-06-01,24,3,Wednesday,0
2026-06-25,2026-06-25,2026,6,2026-06,2026-06-01,25,4,Thursday,0
2026-06-26,2026-06-26,2026,6,2026-06,2026-06-01,26,5,Friday,0
2026-06-27,2026-06-27,2026,6,2026-06,2026-06-01,27,6,Saturday,1
2026-06-28,2026-06-28,2026,6,2026-06,2026-06-01,28,0,Sunday,1
2026-06-29,2026-06-29,2026,6,2026-06,2026-06-01,29,1,Monday,0
2026-06-30,2026-06-30,2026,6,2026-06,2026-06-01,30,2,Tuesday,0
2026-07-01,2026-07-01,2026,7,2026-07,2026-07-01,1,3,Wednesday,0
2026-07-02,2026-07-02,2026,7,2026-07,2026-07-01,2,4,Thursday,0
2026-07-03,2026-07-03,2026,7,2026-07,2026-07-01,3,5,Friday,0
2026-07-04,2026-07-04,2026,7,2026-07,2026-07-01,4,6,Saturday,1
2026-07-05,2026-07-05,2026,7,2026-07,2026-07-01,5,0,Sunday,1
2026-07-06,2026-07-06,2026,7,2026-07,2026-07-01,6,1,Monday,0
2026-07-07,2026-07-07,2026,7,2026-07,2026-07-01,7,2,Tuesday,0
2026-07-08,2026-07-08,2026,7,2026-07,2026-07-01,8,3,Wednesday,0
2026-07-09,2026-07-09,2026,7,2026-07,2026-07-01,9,4,Thursday,0
2026-07-10,2026-07-10,2026,7,2026-07,2026-07-01,10,5,Friday,0
2026-07-11,2026-07-11,2026,7,2026-07,2026-07-01,11,6,Saturday,1
2026-07-12,2026-07-12,2026,7,2026-07,2026-07-01,12,0,Sunday,1
2026-07-13,2026-07-13,2026,7,2026-07,2026-07-01,13,1,Monday,0
2026-07-14,2026-07-14,2026,7,2026-07,2026-07-01,14,2,Tuesday,0
2026-07-15,2026-07-15,2026,7,2026-07,2026-07-01,15,3,Wednesday,0
2026-07-16,2026-07-16,2026,7,2026-07,2026-07-01,16,4,Thursday,0
2026-07-17,2026-07-17,2026,7,2026-07,2026-07-01,17,5,Friday,0
2026-07-18,2026-07-18,2026,7,2026-07,2026-07-01,18,6,Saturday,1
2026-07-19,2026-07-19,2026,7,2026-07,2026-07-01,19,0,Sunday,1
2026-07-20,2026-07-20,2026,7,2026-07,2026-07-01,20,1,Monday,0
2026-07-21,2026-07-21,2026,7,2026-07,2026-07-01,21,2,Tuesday,0
2026-07-22,2026-07-22,2026,7,2026-07,2026-07-01,22,3,Wednesday,0
2026-07-23,2026-07-23,2026,7,2026-07,2026-07-01,23,4,Thursday,0
2026-07-24,2026-07-24,2026,7,2026-07,2026-07-01,24,5,Friday,0
2026-07-25,2026-07-25,2026,7,2026-07,2026-07-01,25,6,Saturday,1
2026-07-26,2026-07-26,2026,7,2026-07,2026-07-01,26,0,Sunday,1
2026-07-27,2026-07-27,2026,7,2026-07,2026-07-01,27,1,Monday,0
2026-07-28,2026-07-28,2026,7,2026-07,2026-07-01,28,2,Tuesday,0
2026-07-29,2026-07-29,2026,7,2026-07,2026-07-01,29,3,Wednesday,0
2026-07-30,2026-07-30,2026,7,2026-07,2026-07-01,30,4,Thursday,0
2026-07-31,2026-07-31,2026,7,2026-07,2026-07-01,31,5,Friday,0
2026-08-01,2026-08-01,2026,8,2026-08,2026-08-01,1,6,Saturday,1
2026-08-02,2026-08-02,2026,8,2026-08,2026-08-01,2,0,Sunday,1
2026-08-03,2026-08-03,2026,8,2026-08,2026-08-01,3,1,Monday,0
2026-08-04,2026-08-04,2026,8,2026-08,2026-08-01,4,2,Tuesday,0
2026-08-05,2026-08-05,2026,8,2026-08,2026-08-01,5,3,Wednesday,0
2026-08-06,2026-08-06,2026,8,2026-08,2026-08-01,6,4,Thursday,0
2026-08-07,2026-08-07,2026,8,2026-08,2026-08-01,7,5,Friday,0
2026-08-08,2026-08-08,2026,8,2026-08,2026-08-01,8,6,Saturday,1
2026-08-09,2026-08-09,2026,8,2026-08,2026-08-01,9,0,Sunday,1
2026-08-10,2026-08-10,2026,8,2026-08,2026-08-01,10,1,Monday,0
2026-08-11,2026-08-11,2026,8,2026-08,2026-08-01,11,2,Tuesday,0
2026-08-12,2026-08-12,2026,8,2026-08,2026-08-01,12,3,Wednesday,0
2026-08-13,2026-08-13,2026,8,2026-08,2026-08-01,13,4,Thursday,0
2026-08-14,2026-08-14,2026,8,2026-08,2026-08-01,14,5,Friday,0
2026-08-15,2026-08-15,2026,8,2026-08,2026-08-01,15,6,Saturday,1
2026-08-16,2026-08-16,2026,8,2026-08,2026-08-01,16,0,Sunday,1
2026-08-17,2026-08-17,2026,8,2026-08,2026-08-01,17,1,Monday,0
2026-08-18,2026-08-18,2026,8,2026-08,2026-08-01,18,2,Tuesday,0
2026-08-19,2026-08-19,2026,8,2026-08,2026-08-01,19,3,Wednesday,0
2026-08-20,2026-08-20,2026,8,2026-08,2026-08-01,20,4,Thursday,0
2026-08-21,2026-08-21,2026,8,2026-08,2026-08-01,21,5,Friday,0
2026-08-22,2026-08-22,2026,8,2026-08,2026-08-01,22,6,Saturday,1
2026-08-23,2026-08-23,2026,8,2026-08,2026-08-01,23,0,Sunday,1
2026-08-24,2026-08-24,2026,8,2026-08,2026-08-01,24,1,Monday,0
2026-08-25,2026-08-25,2026,8,2026-08,2026-08-01,25,2,Tuesday,0
2026-08-26,2026-08-26,2026,8,2026-08,2026-08-01,26,3,Wednesday,0
2026-08-27,2026-08-27,2026,8,2026-08,2026-08-01,27,4,Thursday,0
2026-08-28,2026-08-28,2026,8,2026-08,2026-08-01,28,5,Friday,0
2026-08-29,2026-08-29,2026,8,2026-08,2026-08-01,29,6,Saturday,1
2026-08-30,2026-08-30,2026,8,2026-08,2026-08-01,30,0,Sunday,1
2026-08-31,2026-08-31,2026,8,2026-08,2026-08-01,31,1,Monday,0
2026-09-01,2026-09-01,2026,9,2026-09,2026-09-01,1,2,Tuesday,0
2026-09-02,2026-09-02,2026,9,2026-09,2026-09-01,2,3,Wednesday,0
2026-09-03,2026-09-03,2026,9,2026-09,2026-09-01,3,4,Thursday,0
2026-09-04,2026-09-04,2026,9,2026-09,2026-09-01,4,5,Friday,0
2026-09-05,2026-09-05,2026,9,2026-09,2026-09-01,5,6,Saturday,1
2026-09-06,2026-09-06,2026,9,2026-09,2026-09-01,6,0,Sunday,1
2026-09-07,2026-09-07,2026,9,2026-09,2026-09-01,7,1,Monday,0
