product_id,product_name,category,cost_price,sale_price,lead_time_days
PR001,Product_1,Dairy,128.22,225.79,10
PR002,Product_2,Household,47.6,63.99,10
PR003,Product_3,Beverages,43.64,61.01,5
PR004,Product_4,Beverages,43.84,57.98,5
PR005,Product_5,Dairy,59.55,87.1,5
PR006,Product_6,Snacks,88.22,131.83,5
PR007,Product_7,Dairy,76.15,109.33,5
PR008,Product_8,Dairy,57.86,99.19,10
PR009,Product_9,Dairy,99.54,147.16,5
PR010,Product_10,Dairy,38.13,54.93,3
PR011,Product_11,Household,57.98,91.11,7
PR012,Product_12,Beverages,67.63,92.68,5
PR013,Product_13,Household,79.29,134.88,5
PR014,Product_14,Household,122.07,163.24,10
PR015,Product_15,Household,45.96,82.43,5
PR016,Product_16,Dairy,86.85,146.44,5
PR017,Product_17,Snacks,97.01,135.75,5
PR018,Product_18,Beverages,26.04,33.92,10
PR019,Product_19,Snacks,98.98,169.03,5
PR020,Product_20,Household,42.17,69.73,7
