product_id,total_qty_sold,total_revenue,total_gross_profit,total_lost_sales_qty,total_lost_revenue,total_potential_revenue,stockout_days,lost_revenue_pct
PR001,3232,729753.28,315346.24,37,8354.23,738107.51,10,1.13
PR002,6611,423037.89,108354.29,99,6335.01,429372.9,11,1.48
PR003,2361,144044.61,41010.57,53,3233.53,147278.14,14,2.2
PR004,8583,497642.34,121363.62,163,9450.74,507093.08,13,1.86
PR005,5354,466333.4,147502.7,133,11584.3,477917.7,13,2.42
PR006,6400,843712.0,279104.0,166,21883.78,865595.78,11,2.53
PR007,3789,414251.37,125719.02,95,10386.35,424637.72,11,2.45
PR008,7464,740354.16,308487.12,124,12299.56,752653.72,10,1.63
PR009,1725,253851.0,82144.5,47,6916.52,260767.52,17,2.65
PR010,7014,385279.02,117835.2,154,8459.22,393738.24,11,2.15
PR011,5637,513587.07,186753.81,115,10477.65,524064.72,13,2.0
PR012,3158,292683.44,79107.9,106,9824.08,302507.52,19,3.25
PR013,4697,633531.36,261106.23,63,8497.44,642028.8,10,1.32
PR014,3556,580481.44,146400.52,58,9467.92,589949.36,12,1.6
PR015,5685,468614.55,207331.95,184,15167.12,483781.67,14,3.14
PR016,2010,294344.4,119775.9,128,18744.32,313088.72,21,5.99
PR017,5346,725719.5,207104.04,104,14118.0,739837.5,13,1.91
PR018,5992,203248.64,47216.96,41,1390.72,204639.36,6,0.68
PR019,2352,397558.56,164757.6,101,17072.03,414630.59,16,4.12
PR020,6483,452059.59,178671.48,70,4881.1,456940.69,10,1.07
