date_key,store_id,product_id,stock_qty,incoming_qty,expected_available_qty,avg_daily_demand_14d,lead_time_days,days_of_supply,expected_days_of_supply,risk_level,review_period_days,safety_days,target_cover_days,target_stock_qty,recommended_qty,estimated_order_cost,priority
2026-09-07,ST001,PR001,12,0,12,11.43,10,1.0,1.0,critical,7,2,19,217.0,205.0,26285.1,2
2026-09-07,ST001,PR002,270,0,270,24.71,10,10.9,10.9,high,7,2,19,469.0,199.0,9472.4,3
2026-09-07,ST001,PR003,0,112,112,8.79,5,0.0,12.7,stockout,7,2,14,123.0,11.0,480.04,1
2026-09-07,ST001,PR004,375,0,375,35.43,5,10.6,10.6,medium,7,2,14,496.0,121.0,5304.64,4
2026-09-07,ST001,PR006,28,0,28,24.57,5,1.1,1.1,critical,7,2,14,344.0,316.0,27877.52,2
2026-09-07,ST001,PR007,170,0,170,13.86,5,12.3,12.3,ok,7,2,14,194.0,24.0,1827.6,5
2026-09-07,ST001,PR008,251,0,251,30.07,10,8.3,8.3,critical,7,2,19,571.0,320.0,18515.2,2
2026-09-07,ST001,PR009,39,0,39,6.36,5,6.1,6.1,high,7,2,14,89.0,50.0,4977.0,3
2026-09-07,ST001,PR010,305,0,305,27.0,3,11.3,11.3,ok,7,2,12,324.0,19.0,724.47,5
2026-09-07,ST001,PR011,0,0,0,22.71,7,0.0,0.0,stockout,7,2,16,363.0,363.0,21046.74,1
2026-09-07,ST001,PR012,24,0,24,11.14,5,2.2,2.2,critical,7,2,14,156.0,132.0,8927.16,2
2026-09-07,ST001,PR013,198,0,198,17.36,5,11.4,11.4,medium,7,2,14,243.0,45.0,3568.05,4
2026-09-07,ST001,PR014,154,0,154,13.86,10,11.1,11.1,high,7,2,19,263.0,109.0,13305.63,3
2026-09-07,ST001,PR015,224,0,224,21.0,5,10.7,10.7,medium,7,2,14,294.0,70.0,3217.2,4
2026-09-07,ST001,PR016,30,0,30,9.07,5,3.3,3.3,critical,7,2,14,127.0,97.0,8424.45,2
2026-09-07,ST001,PR017,6,252,258,20.14,5,0.3,12.8,critical,7,2,14,282.0,24.0,2328.24,2
2026-09-07,ST001,PR018,38,0,38,23.07,10,1.6,1.6,critical,7,2,19,438.0,400.0,10416.0,2
2026-09-07,ST001,PR019,6,112,118,9.21,5,0.7,12.8,critical,7,2,14,129.0,11.0,1088.78,2
2026-09-07,ST001,PR020,4,0,4,23.57,7,0.2,0.2,critical,7,2,16,377.0,373.0,15729.41,2
2026-09-07,ST002,PR001,142,0,142,11.86,10,12.0,12.0,high,7,2,19,225.0,83.0,10642.26,3
2026-09-07,ST002,PR002,213,0,213,26.5,10,8.0,8.0,critical,7,2,19,504.0,291.0,13851.6,2
2026-09-07,ST002,PR003,100,0,100,8.21,5,12.2,12.2,ok,7,2,14,115.0,15.0,654.6,5
2026-09-07,ST002,PR004,380,0,380,33.0,5,11.5,11.5,medium,7,2,14,462.0,82.0,3594.88,4
2026-09-07,ST002,PR005,207,0,207,21.14,5,9.8,9.8,medium,7,2,14,296.0,89.0,5299.95,4
2026-09-07,ST002,PR006,30,0,30,25.21,5,1.2,1.2,critical,7,2,14,353.0,323.0,28495.06,2
2026-09-07,ST002,PR007,36,0,36,14.93,5,2.4,2.4,critical,7,2,14,209.0,173.0,13173.95,2
2026-09-07,ST002,PR008,329,0,329,28.71,10,11.5,11.5,high,7,2,19,545.0,216.0,12497.76,3
2026-09-07,ST002,PR009,0,0,0,6.79,5,0.0,0.0,stockout,7,2,14,95.0,95.0,9456.3,1
2026-09-07,ST002,PR011,220,0,220,20.71,7,10.6,10.6,medium,7,2,16,331.0,111.0,6435.78,4
2026-09-07,ST002,PR012,48,0,48,10.21,5,4.7,4.7,critical,7,2,14,143.0,95.0,6424.85,2
2026-09-07,ST002,PR013,33,0,33,16.71,5,2.0,2.0,critical,7,2,14,234.0,201.0,15937.29,2
2026-09-07,ST002,PR014,0,0,0,13.14,10,0.0,0.0,stockout,7,2,19,250.0,250.0,30517.5,1
2026-09-07,ST002,PR015,209,0,209,23.43,5,8.9,8.9,medium,7,2,14,328.0,119.0,5469.24,4
2026-09-07,ST002,PR016,35,0,35,8.07,5,4.3,4.3,critical,7,2,14,113.0,78.0,6774.3,2
2026-09-07,ST002,PR017,216,0,216,20.57,5,10.5,10.5,medium,7,2,14,288.0,72.0,6984.72,4
2026-09-07,ST002,PR018,64,294,358,22.29,10,2.9,16.1,critical,7,2,19,424.0,66.0,1718.64,2
2026-09-07,ST002,PR020,289,0,289,23.43,7,12.3,12.3,medium,7,2,16,375.0,86.0,3626.62,4
2026-09-07,ST003,PR001,2,154,156,12.0,10,0.2,13.0,critical,7,2,19,228.0,72.0,9231.84,2
2026-09-07,ST003,PR002,298,0,298,22.71,10,13.1,13.1,medium,7,2,19,431.0,133.0,6330.8,4
2026-09-07,ST003,PR003,3,0,3,8.43,5,0.4,0.4,critical,7,2,14,118.0,115.0,5018.6,2
2026-09-07,ST003,PR004,0,0,0,32.36,5,0.0,0.0,stockout,7,2,14,453.0,453.0,19859.52,1
2026-09-07,ST003,PR005,190,0,190,21.86,5,8.7,8.7,medium,7,2,14,306.0,116.0,6907.8,4
2026-09-07,ST003,PR006,10,0,10,25.0,5,0.4,0.4,critical,7,2,14,350.0,340.0,29994.8,2
2026-09-07,ST003,PR008,6,0,6,27.07,10,0.2,0.2,critical,7,2,19,514.0,508.0,29392.88,2
2026-09-07,ST003,PR009,0,84,84,7.36,5,0.0,11.4,stockout,7,2,14,103.0,19.0,1891.26,1
2026-09-07,ST003,PR010,32,0,32,25.86,3,1.2,1.2,critical,7,2,12,310.0,278.0,10600.14,2
2026-09-07,ST003,PR011,261,0,261,19.36,7,13.5,13.5,medium,7,2,16,310.0,49.0,2841.02,4
2026-09-07,ST003,PR012,4,0,4,10.21,5,0.4,0.4,critical,7,2,14,143.0,139.0,9400.57,2
2026-09-07,ST003,PR013,0,0,0,19.14,5,0.0,0.0,stockout,7,2,14,268.0,268.0,21249.72,1
2026-09-07,ST003,PR014,154,0,154,13.0,10,11.8,11.8,high,7,2,19,247.0,93.0,11352.51,3
2026-09-07,ST003,PR015,0,0,0,23.21,5,0.0,0.0,stockout,7,2,14,325.0,325.0,14937.0,1
2026-09-07,ST003,PR016,81,0,81,6.93,5,11.7,11.7,medium,7,2,14,97.0,16.0,1389.6,4
2026-09-07,ST003,PR017,228,0,228,21.14,5,10.8,10.8,medium,7,2,14,296.0,68.0,6596.68,4
2026-09-07,ST003,PR018,80,0,80,23.21,10,3.4,3.4,critical,7,2,19,441.0,361.0,9400.44,2
2026-09-07,ST003,PR019,96,0,96,9.43,5,10.2,10.2,medium,7,2,14,132.0,36.0,3563.28,4
2026-09-07,ST003,PR020,0,0,0,25.64,7,0.0,0.0,stockout,7,2,16,410.0,410.0,17289.7,1
