date_key,store_id,product_id,stock_qty,incoming_qty,expected_available_qty,avg_daily_demand_14d,avg_daily_sales_14d,stockout_days_14d,lost_sales_qty_14d,lead_time_days,days_of_supply,expected_days_of_supply,risk_level
2026-09-07,ST001,PR001,12,0,12,11.43,11.43,0.0,0.0,10,1.0,1.0,critical
2026-09-07,ST001,PR002,270,0,270,24.71,24.71,0.0,0.0,10,10.9,10.9,high
2026-09-07,ST001,PR003,0,112,112,8.79,8.0,3.0,11.0,5,0.0,12.7,stockout
2026-09-07,ST001,PR004,375,0,375,35.43,32.64,2.0,39.0,5,10.6,10.6,medium
2026-09-07,ST001,PR005,45,252,297,17.14,16.07,1.0,15.0,5,2.6,17.3,critical
2026-09-07,ST001,PR006,28,0,28,24.57,23.86,1.0,10.0,5,1.1,1.1,critical
2026-09-07,ST001,PR007,170,0,170,13.86,13.86,0.0,0.0,5,12.3,12.3,ok
2026-09-07,ST001,PR008,251,0,251,30.07,30.07,0.0,0.0,10,8.3,8.3,critical
2026-09-07,ST001,PR009,39,0,39,6.36,6.14,1.0,3.0,5,6.1,6.1,high
2026-09-07,ST001,PR010,305,0,305,27.0,26.21,1.0,11.0,3,11.3,11.3,ok
2026-09-07,ST001,PR011,0,0,0,22.71,21.07,2.0,23.0,7,0.0,0.0,stockout
2026-09-07,ST001,PR012,24,0,24,11.14,11.07,1.0,1.0,5,2.2,2.2,critical
2026-09-07,ST001,PR013,198,0,198,17.36,17.36,0.0,0.0,5,11.4,11.4,medium
2026-09-07,ST001,PR014,154,0,154,13.86,13.57,1.0,4.0,10,11.1,11.1,high
2026-09-07,ST001,PR015,224,0,224,21.0,20.5,1.0,7.0,5,10.7,10.7,medium
2026-09-07,ST001,PR016,30,0,30,9.07,8.0,2.0,15.0,5,3.3,3.3,critical
2026-09-07,ST001,PR017,6,252,258,20.14,20.14,0.0,0.0,5,0.3,12.8,critical
2026-09-07,ST001,PR018,38,0,38,23.07,23.07,0.0,0.0,10,1.6,1.6,critical
2026-09-07,ST001,PR019,6,112,118,9.21,8.86,1.0,5.0,5,0.7,12.8,critical
2026-09-07,ST001,PR020,4,0,4,23.57,23.57,0.0,0.0,7,0.2,0.2,critical
2026-09-07,ST002,PR001,142,0,142,11.86,11.86,0.0,0.0,10,12.0,12.0,high
2026-09-07,ST002,PR002,213,0,213,26.5,26.5,0.0,0.0,10,8.0,8.0,critical
2026-09-07,ST002,PR003,100,0,100,8.21,8.21,0.0,0.0,5,12.2,12.2,ok
2026-09-07,ST002,PR004,380,0,380,33.0,32.36,1.0,9.0,5,11.5,11.5,medium
2026-09-07,ST002,PR005,207,0,207,21.14,21.14,0.0,0.0,5,9.8,9.8,medium
2026-09-07,ST002,PR006,30,0,30,25.21,24.36,1.0,12.0,5,1.2,1.2,critical
2026-09-07,ST002,PR007,36,0,36,14.93,14.93,0.0,0.0,5,2.4,2.4,critical
2026-09-07,ST002,PR008,329,0,329,28.71,26.5,1.0,31.0,10,11.5,11.5,high
2026-09-07,ST002,PR009,0,0,0,6.79,6.0,3.0,11.0,5,0.0,0.0,stockout
2026-09-07,ST002,PR010,41,336,377,25.29,25.29,0.0,0.0,3,1.6,14.9,critical
2026-09-07,ST002,PR011,220,0,220,20.71,20.57,1.0,2.0,7,10.6,10.6,medium
2026-09-07,ST002,PR012,48,0,48,10.21,9.36,2.0,12.0,5,4.7,4.7,critical
2026-09-07,ST002,PR013,33,0,33,16.71,16.5,1.0,3.0,5,2.0,2.0,critical
2026-09-07,ST002,PR014,0,0,0,13.14,12.43,3.0,10.0,10,0.0,0.0,stockout
2026-09-07,ST002,PR015,209,0,209,23.43,21.71,1.0,24.0,5,8.9,8.9,medium
2026-09-07,ST002,PR016,35,0,35,8.07,7.57,1.0,7.0,5,4.3,4.3,critical
2026-09-07,ST002,PR017,216,0,216,20.57,20.57,0.0,0.0,5,10.5,10.5,medium
2026-09-07,ST002,PR018,64,294,358,22.29,22.29,0.0,0.0,10,2.9,16.1,critical
2026-09-07,ST002,PR019,10,112,122,8.29,7.5,2.0,11.0,5,1.2,14.7,critical
2026-09-07,ST002,PR020,289,0,289,23.43,23.43,0.0,0.0,7,12.3,12.3,medium
2026-09-07,ST003,PR001,2,154,156,12.0,12.0,0.0,0.0,10,0.2,13.0,critical
2026-09-07,ST003,PR002,298,0,298,22.71,22.71,0.0,0.0,10,13.1,13.1,medium
2026-09-07,ST003,PR003,3,0,3,8.43,7.86,1.0,8.0,5,0.4,0.4,critical
2026-09-07,ST003,PR004,0,0,0,32.36,31.07,2.0,18.0,5,0.0,0.0,stockout
2026-09-07,ST003,PR005,190,0,190,21.86,21.86,0.0,0.0,5,8.7,8.7,medium
2026-09-07,ST003,PR006,10,0,10,25.0,25.0,0.0,0.0,5,0.4,0.4,critical
2026-09-07,ST003,PR007,9,182,191,13.57,12.86,2.0,10.0,5,0.7,14.1,critical
2026-09-07,ST003,PR008,6,0,6,27.07,27.07,0.0,0.0,10,0.2,0.2,critical
2026-09-07,ST003,PR009,0,84,84,7.36,6.86,3.0,7.0,5,0.0,11.4,stockout
2026-09-07,ST003,PR010,32,0,32,25.86,25.86,0.0,0.0,3,1.2,1.2,critical
2026-09-07,ST003,PR011,261,0,261,19.36,19.36,0.0,0.0,7,13.5,13.5,medium
2026-09-07,ST003,PR012,4,0,4,10.21,10.21,0.0,0.0,5,0.4,0.4,critical
2026-09-07,ST003,PR013,0,0,0,19.14,18.57,2.0,8.0,5,0.0,0.0,stockout
2026-09-07,ST003,PR014,154,0,154,13.0,13.0,0.0,0.0,10,11.8,11.8,high
2026-09-07,ST003,PR015,0,0,0,23.21,21.79,1.0,20.0,5,0.0,0.0,stockout
2026-09-07,ST003,PR016,81,0,81,6.93,6.93,0.0,0.0,5,11.7,11.7,medium
2026-09-07,ST003,PR017,228,0,228,21.14,21.0,2.0,2.0,5,10.8,10.8,medium
2026-09-07,ST003,PR018,80,0,80,23.21,23.21,0.0,0.0,10,3.4,3.4,critical
2026-09-07,ST003,PR019,96,0,96,9.43,8.79,1.0,9.0,5,10.2,10.2,medium
2026-09-07,ST003,PR020,0,0,0,25.64,23.21,3.0,34.0,7,0.0,0.0,stockout
